"";"input_id";"dependence";"dependence_value";"question";"subframework";"property";"category";"pages";"minimal_detailed";"bestpractices";"notes";"keywords";"options";"input_type";"required"
"31";"F06";NA;NA;"Is the learning resource developed using open file formats which are tool agnostic and compatible with a wide variety of existing software?";"fair";"File formats";"Technical & accessibility aspects";"2. Implementation";"minimal";"Using open file formats while developing the learning resource ensures the sustainability of the materials, making them easier to use and maintain even when the tools change. Using open file formats for the final content that is made available for learners ensures they can access the resource using a variety of software solutions.";"The resource deposited in a repository should be consisting of editable files based on only open file formats. The final file formats available for learners should also be based on open file formats.";"Interoperable";"Yes;No";"mc";FALSE
"32";"G12";NA;NA;"Does the resource provide the prerequisites for understanding or using the learning material or its topics?";"essential";"Prerequisites";"Technical & accessibility aspects";"2. Implementation";"detailed";"Prerequisites can include basic knowledge levels, specific tasks, technical skills, or familiarity with specific technologies, tools, software, or systems. Prerequisites can be thought of as a more detailed version of the “expertise level”.";"This indicator is about required skills of the learners, not technical requirements. If there are no prerequisites, please state this explicitly. This information should be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"33";"M06";"G12";"Yes";"If applicable, are the technological prerequisites (tools, software and infrastructure requirements and skills) stated necessary for performing the essential skills and competences listed in the correspondent <a href=""https://zenodo.org/records/15731870"" target=""_blank"">MVS profile</a> of the stated target audience?";"mvs";"Prerequisites";"Technical & accessibility aspects";"2. Implementation";"detailed";"Regarding prerequisites, there is not a direct connection between the possible requirements for a learning resource (like technical skills or knowledge in a certain area) and a specific section in the MVS profile. So, it will be up to the user to check this. This includes looking at the skills and abilities explained in the profile that matches the learning resource to see if they match with what is needed for the resource.";NA;NA;"Yes;No;Not applicable";"mc";FALSE
"34";"M07";"G12";"Yes";"If applicable, are the domain prerequisites stated necessary for performing the essential skills and competences listed in the correspondent <a href=""https://zenodo.org/records/15731870"" target=""_blank"">MVS profile</a> of the stated target audience?";"mvs";"Prerequisites";"Technical & accessibility aspects";"2. Implementation";"detailed";"Regarding prerequisites, there is not a direct connection between the possible requirements for a learning resource (like technical skills or knowledge in a certain area) and a specific section in the MVS profile. So, it will be up to the user to check this. This includes looking at the skills and abilities explained in the profile that matches the learning resource to see if they match with what is needed for the resource.";NA;NA;"Yes;No;Not applicable";"mc";FALSE
"35";"F03";NA;NA;"Has an accessibility checker tool been utilised to improve the accessibility of the learning resource?";"fair";"Accessibility";"Technical & accessibility aspects";"2. Implementation";"minimal";"To enhance accessibility, use a tool (usually  integrated within the editing solution) that checks for accessibility. You need to ensure that everyone, including people with different backgrounds and abilities, can use the learning materials (check the <a href=""https://opentextbc.ca/selfpublishguide/chapter/accessibility-and-inclusion/"" target=""_blank"">Self-Publishing Guide by BCcampus</a>). Follow standards such as <a href=""https://www.w3.org/WAI/standards-guidelines/wcag/"" target=""_blank"">WCAG 2</a> and <a href=""https://pdfa.org/resource/?wpv-pdf-type=pdf-ua"" target=""_blank"">PDF/UA</a>.";"Accessibility best practices should always be adhered to. For an example: use headings, provide alternative text for images, do not use only color to convey information, use high contrasting colors, etc.  Use an accessibility checker that is recomended for the file formats that you work with.";"Accessible";"Yes;No";"mc";FALSE
"36";"G15";NA;NA;"Does the resource identify the trainer(s) of the resource?";"essential";"Trainer";"Delivery";"2. Implementation";"detailed";"The learning materials should include information about the trainer. This can include name, affiliation, and ORCID ID. This question is not applicable to self-paced training because it does not involve a trainer.";"Besides adding this information to the metadata, this should be visible for the learner (unless the course is self-paced, in that case, this is not applicable).";NA;"Yes;No;Not applicable";"mc";FALSE
"37";"F12";NA;NA;"Does the learning resource include an instructor kit (assessment, lesson plan, activities description and facilitation guide)?";"fair";"Instructor kit";"Delivery";"2. Implementation";"detailed";"Including an instructor kit helps other instructors take full advantage of the learning resource when adapting it to their context. Assessment (plus answers) enables verification of achieved learning objectives. The lesson plan outlines the activities the trainer needs to make in order to deliver the lesson. A how-to activity description is necessary to know how to implement the activity with the learners. The facilitator guide states the actions that need to be done by different stakeholders before, during, and after the learning process has taken place.";"Each unit/lesson should have a short delivery plan for trainers, assessment questions should be provided together with the answers when depositing the resource in a repository. The Facilitator guide focuses on the organisation of the training, what needs to be done before, during and after the training.";"Reusable";"Yes;No";"mc";FALSE
"38";"G14";NA;NA;"Does the resource state the expected duration of the training and (in case of synchronous trainings) the dates the training will be held?";"essential";"Timescale";"Delivery";"2. Implementation";"detailed";"If the training is scheduled to take place on a specific date and is not self-paced, the learning materials should include the date and duration of the training. This is important so that the learner can attend the training. If the training is self-paced and is always available, only the expected duration should be specified.";"For self-paced trainings, specifying the duration is enough (if the availability of the trainings is not limited to a specific time). For non self-paced trainings, the date and duration needs to be specified. This information should be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"39";"G08";NA;NA;"Does the resource specify its delivery method?";"essential";"Delivery";"Delivery";"2. Implementation";"minimal";"How will the training be delivered? Specify whether people will learn– synchronously (face-to-face) or asynchronously (self-paced),– in-person, online, or hybrid.";"”Delivery method” is the approach or channel through which learning content is delivered to learners. Delivery methods can be synchronous (face-to-face) or asynchronous (self-paced), and can be in-person, online, or hybrid.";NA;"Yes;No";"mc";FALSE
"40";"G07";NA;NA;"Does the resource include a statement or explanation about the cost of access?";"essential";"Costs";"Delivery";"2. Implementation";"minimal";"Following the ""Access Cost"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, indicate whether access to the resource is free or requires a fee.";"In addition to adding this information to the metadata, it should also be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"41";"F04";NA;NA;"Are access rules (authentication & authorisation) implemented for the learning resource?";"fair";"Access rules";"Delivery";"2. Implementation";"minimal";"Clearly define the rules of how people can access the resources. This is information on what needs to be done to access the resources (e.g. registration).";"All interested learners should clearly understand how they can access the resource.";"Accessible";"Yes;No";"mc";FALSE
"42";"F07";NA;NA;"If applicable, are all reused resources clearly attributed and compliant with compatible licenses?";"fair";"Reused resources";"Co-creation";"2. Implementation";"minimal";"When reusing existing resources the license under which they are made available should be respected and clear attribution should be provided (even when not explicitly required with the license). If not otherwise defined, use the TASL method for providing the attribution (title, author, source, license).";"If this does not apply to your learning resource (if you have not reused materials), please answer ""Not applicable""";"Reusable";"Yes;No;Not applicable";"mc";FALSE
"43";"F10";NA;NA;"Does the resource adopt an open community approach regarding its quality and reachability?";"fair";"Open community";"Co-creation";"2. Implementation";"detailed";"Enabling the community to provide open comments and reviews of the learning resource while following a defined Code of Conduct can help improve the learning content and be used as input to the next cycle of continuous improvement.";"Other instructors and relevant peers should be able to leave their comments regarding the resource. The same feedback gathering mechanism used for learners can be used for this purpose as long as it is accessible to anyone.";"Reusable";"Yes;No";"mc";FALSE
